mean_x,mean_y,mean_z,min_x,min_y,min_z,max_x,max_y,max_z,median_x,median_y,median_z
-0.02768,0.99016,-0.03734,-0.032,0.985,-0.041,-0.023,0.997,-0.029,-0.029,0.991,-0.038
-0.02765,0.99043,-0.03737,-0.032,0.988,-0.041,-0.023,0.997,-0.029,-0.029,0.991,-0.038
-0.02732,0.99028,-0.03695,-0.032,0.985,-0.041,-0.023,0.997,-0.029,-0.026,0.991,-0.038
-0.02753,0.99004,-0.03695,-0.032,0.985,-0.041,-0.023,0.997,-0.029,-0.0275,0.991,-0.038
-0.0278,0.9898,-0.03719,-0.038,0.988,-0.041,-0.023,0.997,-0.029,-0.029,0.991,-0.038
-0.02803,0.98988,-0.03726,-0.07,0.974,-0.056,0.009,1.003,-0.018,-0.029,0.991,-0.038
-0.02802,0.99015,-0.03705,-0.07,0.974,-0.056,0.009,1.003,-0.018,-0.029,0.991,-0.038
-0.02465,0.99158,-0.05091,-0.103,0.924,-0.138,0.044,1.076,0.065,-0.026,0.991,-0.038
-0.0329,0.98732,-0.03207,-0.636,0.501,-0.493,0.777,1.425,0.331,-0.026,0.988,-0.0365
-0.04112,0.98609,-0.00313,-0.636,0.501,-0.493,0.777,1.425,0.331,-0.041,0.9895,-0.0015
-0.03924,0.99005,-0.00642,-0.059,0.971,-0.076,-0.012,1.015,0.038,-0.041,0.991,-0.009
-0.04049,0.98968,-0.00576,-0.047,0.982,-0.035,-0.032,1.0,0.018,-0.041,0.991,-0.003
-0.04112,0.98953,-0.00601,-0.056,0.982,-0.029,-0.026,0.997,0.018,-0.041,0.991,-0.006
-0.04082,0.98929,-0.00617,-0.059,0.982,-0.026,-0.023,0.997,0.018,-0.041,0.988,-0.009
-0.04025,0.9895,-0.00619,-0.059,0.982,-0.035,-0.023,1.003,0.018,-0.041,0.988,-0.009
-0.04025,0.98998,-0.00606,-0.059,0.982,-0.035,-0.023,1.003,0.018,-0.041,0.9895,-0.009
-0.03968,0.99007,-0.00564,-0.053,0.985,-0.018,-0.029,0.997,0.012,-0.041,0.991,-0.003
-0.03935,0.98995,-0.00582,-0.053,0.985,-0.018,-0.029,0.997,0.012,-0.041,0.9895,-0.003
